pagina,numero_token_originali,numero_nodi_grafo,numero_archi_grafo,gradi_dei_nodi,coefficiente_clustering_medio,lunghezza_media_cammino_minimo
11,266,266,418,"[9, 1, 2, 3, 5, 1, 3, 9, 2, 0, 7, 8, 1, 7, 0, 0, 5, 0, 1, 0, 0, 2, 2, 3, 2, 6, 0, 9, 2, 4, 3, 0, 3, 7, 8, 0, 2, 0, 8, 0, 15, 0, 0, 2, 3, 6, 0, 1, 5, 0, 9, 3, 1, 1, 1, 1, 15, 1, 0, 15, 9, 1, 0, 3, 8, 0, 0, 0, 0, 15, 1, 0, 0, 2, 3, 4, 5, 0, 3, 0, 0, 15, 0, 3, 0, 1, 9, 5, 8, 0, 6, 2, 7, 8, 0, 1, 1, 9, 15, 1, 6, 0, 3, 5, 0, 6, 1, 0, 1, 4, 4, 4, 3, 5, 1, 0, 0, 0, 7, 1, 0, 0, 5, 1, 5, 1, 1, 0, 0, 1, 0, 6, 0, 15, 5, 0, 6, 1, 0, 8, 1, 0, 1, 0, 6, 0, 2, 3, 0, 0, 0, 0, 3, 0, 0, 0, 15, 2, 15, 1, 5, 0, 15, 0, 0, 2, 9, 5, 6, 3, 3, 0, 0, 6, 0, 8, 3, 0, 0, 15, 7, 0, 0, 0, 3, 4, 3, 0, 5, 1, 1, 0, 2, 4, 7, 5, 1, 2, 5, 1, 0, 6, 1, 0, 0, 7, 0, 0, 0, 0, 2, 0, 0, 0, 0, 15, 9, 5, 1, 0, 15, 0, 1, 2, 0, 8, 1, 0, 0, 1, 2, 0, 3, 0, 5, 0, 1, 2, 1, 5, 2, 2, 15, 0, 2, 0, 15, 4, 2, 0, 15, 1, 6, 2, 0, 15, 1, 0, 0, 2, 0, 15, 9, 0, 0, 0]",0.45153956319369853,2.104761904761905
12,185,185,137,"[0, 0, 1, 0, 3, 7, 1, 3, 0, 4, 3, 0, 0, 3, 1, 0, 2, 1, 0, 1, 4, 0, 0, 2, 0, 0, 2, 5, 1, 3, 0, 0, 0, 7, 2, 0, 0, 0, 4, 0, 5, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 2, 0, 1, 4, 2, 0, 0, 2, 7, 1, 0, 1, 1, 5, 0, 1, 2, 2, 3, 0, 1, 3, 0, 0, 3, 7, 2, 1, 2, 0, 7, 0, 3, 0, 5, 3, 0, 0, 0, 0, 0, 2, 0, 1, 2, 0, 0, 1, 0, 0, 3, 2, 0, 1, 2, 1, 2, 0, 3, 4, 0, 2, 0, 7, 0, 2, 0, 1, 2, 0, 3, 7, 4, 0, 5, 0, 0, 0, 2, 4, 2, 4, 0, 0, 1, 3, 0, 0, 1, 0, 4, 0, 0, 0, 0, 2, 3, 1, 0, 2, 2, 3, 7, 4, 0, 2, 0, 0, 4, 0, 1, 4, 0, 0, 3, 0, 0, 4, 0, 0, 5, 0, 2, 0, 3, 0, 2, 0, 1, 0, 0, 0, 0, 0]",0.3765765765765766,1.0
13,243,243,205,"[2, 0, 10, 5, 0, 4, 1, 0, 3, 0, 1, 2, 0, 0, 0, 10, 0, 0, 1, 3, 1, 0, 2, 10, 1, 0, 0, 1, 2, 6, 0, 4, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 10, 5, 0, 0, 0, 0, 1, 0, 3, 3, 0, 0, 0, 0, 1, 0, 2, 0, 2, 0, 1, 2, 1, 2, 0, 1, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 4, 0, 4, 0, 0, 0, 0, 0, 2, 0, 0, 0, 10, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 10, 0, 0, 3, 0, 0, 2, 0, 0, 4, 4, 2, 0, 10, 1, 0, 0, 1, 0, 0, 15, 1, 1, 2, 3, 6, 0, 2, 6, 1, 0, 2, 5, 0, 0, 1, 2, 5, 3, 1, 1, 4, 0, 4, 6, 0, 1, 1, 1, 2, 4, 0, 1, 4, 1, 3, 0, 2, 1, 4, 4, 1, 0, 0, 1, 2, 2, 1, 2, 10, 0, 0, 0, 4, 2, 2, 0, 2, 4, 5, 3, 0, 1, 4, 0, 0, 1, 0, 1, 3, 1, 0, 2, 4, 1, 1, 10, 0, 2, 4, 4, 3, 0, 4, 0, 0, 0, 4, 2, 0, 0, 0, 2, 6, 3, 0, 1, 1, 0, 6, 0, 1, 3, 2, 0, 0, 0, 0, 0, 10, 5, 0, 0, 0, 0]",0.3280619243582206,2.168421052631579
14,265,265,328,"[0, 0, 0, 0, 11, 3, 5, 1, 5, 1, 2, 3, 1, 0, 0, 0, 2, 6, 0, 1, 2, 0, 0, 2, 0, 1, 6, 1, 1, 11, 0, 0, 0, 0, 2, 11, 1, 1, 3, 3, 0, 1, 1, 5, 3, 11, 1, 3, 2, 0, 0, 0, 0, 6, 1, 1, 2, 0, 2, 0, 6, 0, 1, 1, 0, 2, 3, 11, 1, 9, 0, 1, 0, 0, 6, 0, 0, 2, 0, 0, 0, 0, 0, 2, 2, 0, 3, 2, 0, 11, 0, 1, 3, 9, 1, 11, 0, 2, 0, 1, 0, 3, 0, 0, 11, 3, 0, 0, 11, 2, 3, 3, 1, 2, 0, 3, 1, 2, 11, 1, 0, 0, 4, 11, 0, 1, 11, 0, 3, 0, 1, 1, 0, 0, 11, 0, 3, 9, 2, 1, 11, 5, 1, 27, 9, 0, 0, 3, 2, 5, 1, 1, 3, 0, 11, 0, 0, 11, 2, 1, 0, 2, 3, 11, 0, 3, 4, 0, 0, 3, 0, 3, 1, 9, 0, 0, 11, 0, 7, 11, 7, 6, 0, 0, 3, 2, 1, 0, 11, 2, 1, 1, 0, 2, 0, 1, 0, 1, 4, 0, 3, 0, 0, 0, 0, 2, 1, 2, 0, 1, 4, 0, 0, 0, 3, 0, 11, 0, 0, 2, 0, 3, 0, 0, 2, 0, 0, 3, 3, 1, 3, 6, 0, 4, 0, 0, 2, 1, 3, 5, 0, 1, 3, 4, 2, 0, 3, 4, 0, 3, 3, 3, 11, 0, 1, 3, 1, 4, 0, 11, 0, 0, 0, 0, 0]",0.4082796937513919,2.13015873015873
15,63,63,15,"[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 0, 0, 2, 1, 0, 0, 2, 0, 1, 3, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0]",0.1111111111111111,1.0
16,297,297,492,"[0, 0, 1, 0, 15, 4, 4, 3, 6, 1, 6, 0, 4, 1, 11, 1, 7, 1, 1, 0, 11, 1, 7, 0, 1, 0, 0, 1, 1, 1, 0, 4, 0, 12, 11, 3, 0, 8, 0, 0, 0, 1, 12, 0, 1, 0, 2, 2, 2, 2, 0, 0, 0, 0, 15, 0, 1, 0, 0, 2, 2, 1, 6, 11, 6, 0, 3, 3, 11, 3, 1, 0, 1, 11, 6, 2, 0, 11, 6, 2, 0, 0, 0, 5, 0, 4, 0, 0, 3, 0, 0, 0, 4, 11, 0, 12, 0, 2, 2, 0, 15, 4, 3, 12, 2, 0, 4, 0, 7, 11, 0, 4, 0, 1, 0, 0, 0, 0, 5, 0, 0, 12, 4, 0, 1, 7, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1, 4, 11, 0, 0, 4, 1, 2, 0, 4, 0, 0, 1, 1, 15, 6, 2, 15, 0, 0, 6, 2, 15, 0, 0, 6, 6, 0, 0, 3, 0, 6, 2, 15, 0, 11, 0, 15, 0, 6, 0, 15, 0, 0, 15, 12, 2, 2, 0, 7, 11, 0, 8, 5, 0, 8, 0, 8, 1, 11, 6, 1, 1, 1, 5, 0, 0, 4, 11, 3, 0, 0, 12, 0, 15, 1, 2, 7, 0, 0, 0, 12, 12, 0, 11, 0, 7, 0, 0, 7, 0, 1, 0, 0, 1, 0, 12, 0, 1, 7, 0, 1, 2, 0, 0, 0, 5, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 1, 1, 0, 15, 0, 0, 5, 1, 1, 4, 0, 0, 11, 0, 0, 0, 15, 7, 0, 12, 0, 0, 12, 11, 6, 0, 0, 7, 0, 15, 3, 0, 0, 0, 0, 2, 15, 0, 15, 0, 12, 0, 0, 0, 0]",0.42056932966023874,1.0
17,288,288,350,"[0, 1, 8, 5, 13, 0, 8, 0, 0, 1, 0, 8, 0, 6, 1, 8, 5, 0, 5, 0, 1, 3, 0, 1, 0, 0, 2, 0, 0, 5, 3, 8, 0, 0, 2, 0, 5, 0, 3, 0, 3, 2, 3, 0, 1, 3, 1, 2, 0, 2, 1, 0, 7, 0, 1, 1, 2, 3, 1, 6, 3, 2, 0, 5, 3, 2, 3, 5, 3, 3, 0, 0, 5, 0, 1, 1, 8, 2, 0, 13, 2, 13, 2, 3, 1, 3, 3, 0, 0, 0, 13, 0, 0, 0, 8, 3, 1, 8, 0, 13, 0, 0, 0, 3, 3, 0, 0, 3, 0, 13, 0, 8, 0, 3, 1, 1, 2, 1, 0, 1, 0, 1, 6, 2, 2, 5, 0, 2, 0, 13, 0, 1, 3, 1, 0, 1, 2, 0, 8, 0, 1, 0, 6, 0, 2, 7, 0, 2, 2, 0, 0, 0, 3, 3, 0, 1, 8, 0, 13, 1, 6, 2, 0, 1, 0, 0, 2, 0, 0, 0, 3, 0, 0, 8, 0, 5, 4, 1, 5, 1, 0, 0, 0, 3, 0, 6, 0, 3, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 5, 2, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 2, 0, 0, 8, 2, 1, 3, 2, 6, 0, 0, 0, 2, 4, 6, 0, 2, 13, 2, 5, 6, 0, 0, 3, 0, 1, 6, 0, 0, 1, 13, 1, 0, 5, 0, 1, 5, 8, 1, 17, 6, 0, 0, 2, 1, 2, 5, 4, 6, 3, 2, 0, 1, 13, 0, 13, 2, 13, 0, 7, 2, 0, 0, 0, 1, 0, 0, 2, 0, 13, 3, 0, 0, 0, 0]",0.41574098389355746,2.034632034632035
18,27,27,6,"[0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 3, 0, 0, 0, 0, 0]",0.14814814814814814,1.0
19,270,270,287,"[5, 7, 1, 1, 1, 0, 9, 0, 1, 7, 0, 1, 1, 1, 0, 0, 2, 0, 1, 9, 2, 2, 0, 2, 2, 0, 1, 2, 6, 0, 2, 0, 6, 0, 0, 0, 0, 6, 1, 0, 11, 0, 2, 0, 0, 1, 0, 0, 2, 0, 5, 0, 9, 0, 1, 2, 0, 2, 0, 2, 2, 4, 9, 1, 1, 0, 2, 2, 1, 0, 2, 1, 0, 2, 0, 11, 2, 0, 9, 0, 1, 6, 11, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 6, 1, 2, 0, 1, 0, 3, 0, 3, 0, 3, 0, 0, 2, 3, 1, 11, 2, 2, 3, 1, 2, 2, 0, 1, 6, 1, 0, 6, 1, 2, 0, 1, 5, 0, 1, 0, 1, 1, 7, 0, 1, 1, 2, 9, 2, 0, 0, 0, 0, 0, 11, 0, 1, 7, 0, 7, 0, 6, 1, 1, 2, 2, 2, 1, 0, 6, 1, 2, 3, 0, 1, 0, 0, 0, 0, 1, 0, 0, 6, 0, 11, 0, 6, 0, 11, 0, 0, 0, 4, 0, 1, 2, 6, 2, 0, 11, 0, 2, 0, 0, 1, 11, 0, 0, 4, 7, 0, 11, 2, 0, 1, 0, 0, 2, 0, 9, 0, 2, 0, 4, 2, 9, 1, 0, 1, 0, 0, 9, 0, 7, 0, 9, 0, 0, 0, 1, 2, 5, 0, 0, 0, 6, 2, 5, 7, 1, 1, 6, 0, 1, 0, 2, 2, 0, 11, 1, 0, 0, 1, 2, 0, 4, 0, 3, 0, 0, 3, 0, 11, 5, 0, 0, 0, 0]",0.3888888888888889,1.0
20,115,115,68,"[0, 0, 0, 0, 5, 2, 2, 0, 0, 3, 2, 3, 1, 3, 0, 5, 0, 0, 0, 0, 0, 2, 3, 0, 0, 2, 0, 2, 0, 6, 2, 1, 0, 0, 5, 0, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 5, 0, 0, 0, 3, 0, 0, 1, 3, 2, 1, 5, 0, 2, 1, 0, 1, 1, 2, 3, 1, 0, 2, 0, 1, 0, 2, 3, 0, 3, 1, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3, 0, 6, 2, 1, 0, 0, 0, 0, 1, 0, 2, 0, 0, 0, 1, 1, 2, 0, 2, 1, 1, 2, 5, 2, 0, 0, 0, 0]",0.33739130434782605,1.4285714285714286
