pagina,numero_token_originali,numero_nodi_grafo,numero_archi_grafo,gradi_dei_nodi,coefficiente_clustering_medio,lunghezza_media_cammino_minimo
21,261,261,263,"[10, 0, 2, 0, 3, 0, 10, 4, 0, 2, 0, 7, 9, 2, 0, 3, 0, 0, 0, 9, 2, 10, 7, 3, 1, 4, 0, 0, 9, 0, 5, 0, 0, 1, 0, 0, 3, 7, 4, 2, 0, 1, 0, 5, 0, 0, 1, 2, 0, 5, 1, 0, 0, 1, 0, 0, 5, 1, 1, 9, 0, 4, 0, 0, 1, 1, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 4, 2, 0, 1, 0, 0, 7, 3, 0, 1, 0, 5, 0, 0, 0, 1, 0, 0, 1, 1, 0, 10, 1, 0, 0, 0, 5, 2, 0, 9, 10, 2, 5, 2, 1, 5, 2, 1, 3, 1, 0, 3, 0, 1, 0, 4, 0, 9, 2, 1, 10, 2, 9, 2, 7, 0, 0, 0, 2, 0, 1, 0, 1, 0, 5, 0, 1, 0, 0, 0, 10, 1, 0, 1, 0, 4, 2, 9, 2, 1, 1, 1, 0, 3, 2, 0, 1, 0, 2, 3, 1, 0, 3, 7, 3, 0, 1, 1, 0, 5, 0, 2, 0, 10, 0, 7, 1, 1, 0, 1, 0, 0, 0, 10, 2, 0, 5, 1, 0, 0, 5, 9, 0, 0, 4, 2, 1, 0, 0, 0, 2, 0, 2, 0, 4, 0, 1, 1, 0, 9, 1, 10, 1, 4, 2, 0, 0, 3, 0, 2, 1, 0, 0, 0, 4, 0, 2, 0, 0, 0, 1, 0, 1, 0, 1, 7, 4, 0, 1, 5, 1, 0, 4, 1, 2, 0, 0, 1, 0, 5, 10, 0, 0, 0, 0]",0.36360153256704986,1.0
22,291,291,390,"[0, 0, 4, 0, 7, 5, 1, 0, 11, 2, 2, 0, 2, 5, 2, 0, 0, 10, 0, 11, 0, 8, 0, 1, 0, 6, 2, 0, 1, 11, 0, 0, 5, 4, 8, 2, 4, 4, 6, 1, 0, 6, 6, 2, 0, 0, 2, 0, 0, 1, 2, 6, 0, 5, 1, 5, 0, 1, 1, 6, 6, 1, 2, 3, 5, 2, 8, 0, 7, 1, 5, 1, 1, 3, 0, 7, 1, 1, 0, 10, 8, 0, 0, 0, 20, 5, 13, 0, 0, 0, 2, 0, 11, 1, 3, 0, 0, 0, 0, 0, 10, 6, 0, 0, 1, 6, 0, 0, 1, 8, 4, 0, 2, 0, 2, 0, 2, 0, 0, 1, 2, 0, 0, 0, 0, 6, 6, 0, 0, 0, 6, 1, 5, 0, 0, 0, 1, 0, 1, 0, 20, 6, 0, 3, 0, 7, 0, 13, 0, 13, 0, 6, 2, 0, 0, 1, 20, 4, 2, 8, 2, 4, 1, 2, 1, 2, 0, 0, 0, 6, 1, 1, 0, 0, 1, 8, 4, 0, 5, 2, 2, 13, 1, 5, 0, 3, 3, 3, 3, 6, 0, 5, 0, 0, 0, 2, 0, 11, 2, 1, 2, 2, 0, 1, 5, 11, 7, 0, 2, 0, 0, 0, 0, 8, 0, 0, 0, 11, 6, 5, 0, 0, 0, 2, 4, 1, 1, 7, 0, 2, 1, 6, 4, 2, 1, 1, 2, 8, 0, 0, 10, 5, 1, 4, 0, 0, 0, 0, 2, 0, 0, 0, 11, 4, 0, 0, 6, 0, 7, 4, 5, 5, 0, 5, 4, 4, 0, 0, 1, 11, 1, 0, 2, 0, 2, 0, 7, 0, 0, 0, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]",0.44667325199066926,1.7266666666666666
23,254,254,391,"[0, 4, 7, 2, 19, 17, 1, 1, 8, 2, 4, 1, 2, 0, 1, 1, 1, 0, 0, 2, 0, 6, 10, 2, 17, 5, 8, 5, 0, 4, 17, 0, 0, 8, 8, 17, 11, 2, 0, 2, 0, 0, 7, 6, 0, 1, 4, 0, 7, 0, 1, 11, 3, 1, 0, 9, 11, 8, 0, 4, 1, 1, 1, 1, 6, 3, 3, 3, 1, 3, 5, 0, 1, 2, 2, 0, 7, 1, 1, 3, 8, 10, 1, 0, 0, 3, 1, 0, 7, 2, 1, 1, 2, 3, 2, 0, 2, 0, 0, 1, 2, 3, 8, 17, 2, 5, 0, 3, 3, 6, 0, 0, 5, 0, 0, 2, 1, 1, 1, 1, 0, 6, 0, 0, 0, 1, 4, 3, 3, 4, 7, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 3, 0, 0, 8, 0, 0, 0, 2, 0, 11, 3, 1, 2, 4, 0, 0, 3, 1, 2, 2, 1, 0, 1, 2, 0, 0, 17, 2, 0, 9, 0, 0, 0, 9, 9, 1, 2, 11, 9, 8, 0, 3, 7, 1, 1, 3, 6, 1, 17, 0, 0, 5, 5, 8, 2, 0, 0, 0, 4, 4, 0, 5, 0, 10, 0, 5, 0, 2, 1, 3, 4, 0, 9, 11, 8, 0, 11, 8, 3, 3, 2, 1, 0, 7, 4, 0, 0, 1, 0, 2, 0, 11, 0, 0, 0, 3, 1, 0, 0, 4, 1, 2, 0, 0, 8, 0, 7, 6, 0, 0, 0, 0]",0.47242145498770155,1.9074074074074074
24,50,50,11,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 2, 0, 0, 2, 1, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",0.12,1.0
25,241,241,288,"[11, 0, 3, 11, 0, 5, 0, 0, 3, 0, 0, 0, 5, 11, 0, 7, 1, 0, 0, 5, 0, 0, 0, 0, 1, 13, 0, 1, 0, 10, 3, 0, 3, 11, 3, 2, 1, 0, 0, 0, 0, 1, 2, 3, 5, 0, 0, 1, 5, 4, 13, 0, 0, 3, 2, 3, 1, 2, 10, 0, 2, 0, 1, 2, 2, 4, 5, 11, 0, 7, 2, 0, 3, 1, 1, 1, 2, 2, 4, 11, 3, 0, 1, 2, 0, 0, 2, 2, 7, 0, 0, 0, 0, 0, 2, 2, 3, 0, 1, 2, 0, 5, 0, 0, 3, 1, 4, 2, 1, 5, 0, 2, 1, 2, 1, 1, 10, 2, 0, 0, 5, 0, 2, 2, 0, 7, 0, 1, 0, 7, 1, 5, 1, 5, 0, 1, 1, 0, 11, 7, 0, 0, 5, 0, 10, 0, 0, 5, 2, 0, 10, 0, 5, 0, 0, 0, 1, 10, 1, 5, 0, 0, 11, 3, 2, 0, 2, 4, 4, 0, 0, 4, 0, 3, 0, 5, 0, 0, 0, 1, 0, 10, 0, 0, 1, 0, 0, 10, 0, 0, 0, 3, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 2, 1, 0, 10, 0, 2, 11, 4, 0, 11, 0, 5, 2, 0, 11, 0, 5, 2, 0, 0, 10, 0, 0, 0, 0, 0, 10, 11, 0, 0, 0, 0]",0.4168528566868816,1.5164835164835164
26,222,222,284,"[0, 0, 0, 0, 11, 7, 0, 0, 5, 5, 4, 0, 7, 0, 8, 1, 11, 0, 0, 2, 8, 0, 2, 0, 1, 0, 1, 1, 0, 0, 0, 1, 1, 5, 8, 5, 1, 5, 7, 0, 2, 0, 0, 7, 7, 5, 0, 11, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 11, 1, 2, 0, 3, 2, 2, 7, 1, 0, 0, 0, 1, 3, 2, 0, 0, 0, 3, 3, 2, 2, 0, 2, 8, 1, 11, 0, 7, 5, 1, 0, 8, 0, 2, 0, 1, 8, 0, 1, 1, 1, 8, 11, 0, 0, 8, 0, 11, 0, 11, 0, 11, 0, 8, 2, 11, 0, 11, 0, 7, 0, 1, 0, 2, 0, 0, 0, 2, 0, 0, 1, 0, 11, 0, 5, 2, 0, 0, 0, 8, 1, 0, 2, 7, 16, 0, 8, 7, 2, 1, 5, 2, 7, 1, 7, 1, 7, 2, 0, 0, 0, 7, 7, 3, 3, 0, 2, 3, 2, 0, 0, 7, 3, 2, 7, 1, 7, 1, 0, 2, 2, 2, 0, 0, 0, 7, 1, 5, 2, 3, 0, 0, 5, 0, 0, 8, 0, 5, 0, 0, 0, 8, 0, 2, 2, 0, 0, 0, 0]",0.42055448305448306,1.625
27,129,129,79,"[0, 0, 0, 3, 1, 0, 1, 1, 4, 0, 1, 1, 0, 0, 2, 1, 1, 0, 7, 4, 0, 2, 0, 0, 0, 4, 0, 0, 1, 0, 0, 0, 4, 0, 1, 0, 1, 2, 0, 4, 0, 2, 4, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 2, 2, 1, 2, 0, 4, 0, 1, 3, 0, 3, 4, 2, 3, 4, 1, 0, 3, 0, 0, 1, 2, 0, 4, 0, 0, 0, 4, 2, 0, 4, 1, 1, 2, 4, 1, 1, 2, 0, 1, 0, 4, 0, 0, 0, 0, 3, 0, 0, 4, 0, 0, 0, 1, 0, 0, 0, 0, 4, 4, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 0]",0.3067552602436323,1.5714285714285714
28,256,256,272,"[0, 0, 0, 0, 11, 2, 2, 0, 2, 1, 4, 6, 7, 1, 0, 0, 0, 0, 9, 0, 11, 3, 2, 0, 1, 0, 1, 0, 0, 1, 0, 0, 7, 3, 9, 0, 1, 5, 3, 1, 0, 0, 1, 0, 1, 0, 1, 0, 4, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 2, 1, 1, 5, 2, 1, 1, 2, 2, 0, 0, 1, 2, 2, 1, 6, 0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 1, 9, 0, 0, 4, 0, 2, 1, 6, 0, 0, 0, 8, 0, 0, 11, 1, 0, 9, 0, 11, 1, 0, 2, 6, 0, 1, 0, 1, 0, 1, 0, 11, 0, 1, 0, 0, 2, 7, 0, 1, 12, 2, 4, 0, 0, 4, 0, 1, 2, 4, 9, 11, 0, 3, 0, 0, 0, 0, 9, 0, 9, 0, 0, 11, 2, 0, 0, 0, 1, 2, 0, 0, 0, 11, 0, 4, 0, 8, 1, 11, 3, 11, 0, 11, 0, 2, 2, 2, 3, 3, 3, 3, 0, 0, 2, 4, 0, 1, 3, 0, 11, 0, 8, 0, 3, 1, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 9, 0, 0, 6, 5, 2, 0, 2, 0, 1, 0, 0, 0, 1, 8, 0, 5, 2, 3, 1, 2, 3, 2, 5, 4, 6, 5, 0, 0, 0, 2, 0, 1, 0, 1, 8, 0, 0, 0, 0, 4, 7, 3, 1, 0, 0, 0, 0]",0.35683086444805195,1.5714285714285714
29,259,259,223,"[0, 0, 0, 0, 0, 2, 0, 0, 5, 1, 1, 2, 1, 1, 1, 0, 3, 3, 3, 3, 3, 3, 3, 0, 0, 7, 2, 0, 2, 0, 5, 0, 0, 0, 9, 0, 5, 1, 2, 0, 0, 2, 0, 1, 9, 0, 9, 0, 0, 9, 0, 0, 1, 0, 1, 1, 3, 4, 0, 2, 0, 7, 1, 2, 1, 0, 0, 5, 1, 7, 3, 1, 3, 1, 3, 1, 1, 4, 4, 2, 1, 1, 4, 1, 0, 0, 0, 1, 1, 3, 1, 0, 0, 0, 7, 2, 1, 1, 0, 0, 0, 5, 1, 3, 1, 0, 0, 0, 0, 3, 7, 1, 5, 0, 1, 0, 1, 2, 0, 4, 0, 2, 2, 4, 7, 0, 1, 5, 0, 1, 0, 0, 0, 0, 3, 0, 0, 0, 3, 0, 1, 0, 2, 1, 2, 2, 0, 0, 0, 1, 0, 1, 1, 3, 2, 0, 0, 4, 1, 4, 2, 1, 4, 1, 1, 0, 1, 0, 2, 2, 0, 0, 5, 0, 1, 1, 3, 1, 5, 4, 1, 1, 7, 3, 0, 9, 5, 1, 9, 0, 0, 0, 0, 0, 0, 4, 3, 2, 0, 9, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 4, 0, 5, 1, 1, 3, 0, 1, 1, 0, 0, 1, 2, 1, 9, 0, 9, 0, 3, 5, 0, 7, 0, 2, 3, 0, 0, 2, 0, 4, 1, 0, 0, 0, 2, 2, 4, 0, 0, 0, 0, 1, 0, 9, 4, 0, 0, 0, 0]",0.35392535392535396,1.0
30,105,105,45,"[0, 0, 0, 0, 5, 1, 3, 0, 3, 4, 1, 0, 1, 1, 0, 0, 0, 2, 0, 0, 2, 1, 5, 0, 2, 0, 1, 0, 1, 0, 4, 0, 2, 0, 0, 0, 2, 1, 0, 0, 0, 2, 1, 1, 1, 0, 5, 0, 0, 2, 1, 1, 2, 0, 0, 1, 2, 1, 0, 5, 0, 0, 2, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 5, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]",0.2126984126984127,1.0
31,239,239,341,"[2, 0, 7, 1, 1, 17, 0, 0, 3, 0, 0, 2, 0, 0, 0, 0, 1, 7, 0, 17, 17, 0, 7, 0, 12, 0, 3, 0, 0, 1, 17, 0, 1, 1, 1, 0, 0, 4, 0, 5, 0, 0, 0, 0, 0, 5, 7, 1, 1, 0, 0, 4, 0, 0, 1, 0, 0, 0, 1, 2, 1, 17, 17, 5, 1, 12, 1, 0, 7, 0, 0, 1, 4, 0, 1, 0, 12, 0, 4, 0, 12, 0, 12, 0, 2, 2, 0, 0, 2, 0, 0, 0, 12, 0, 1, 1, 7, 0, 12, 0, 2, 2, 5, 0, 2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2, 0, 0, 2, 0, 12, 1, 0, 1, 1, 0, 5, 5, 1, 17, 0, 12, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 17, 17, 0, 3, 17, 1, 0, 3, 4, 0, 0, 0, 0, 12, 2, 2, 1, 17, 17, 3, 2, 0, 0, 2, 0, 0, 1, 1, 0, 17, 7, 0, 1, 17, 0, 17, 1, 1, 1, 0, 3, 17, 1, 0, 1, 1, 0, 0, 0, 0, 12, 0, 1, 0, 0, 17, 0, 4, 0, 12, 2, 2, 2, 0, 0, 0, 0, 0, 1, 4, 0, 0, 1, 0, 12, 17, 0, 0, 0, 0]",0.3319386331938633,1.0
32,265,265,251,"[0, 0, 3, 0, 10, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 10, 0, 0, 0, 1, 0, 0, 2, 2, 1, 10, 0, 0, 0, 0, 3, 3, 0, 0, 0, 7, 3, 1, 0, 3, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 2, 0, 6, 0, 7, 1, 4, 4, 0, 3, 0, 0, 7, 11, 3, 6, 1, 1, 0, 0, 0, 0, 1, 11, 3, 1, 11, 3, 0, 0, 0, 0, 19, 1, 3, 10, 0, 11, 1, 1, 4, 0, 3, 0, 0, 3, 0, 0, 2, 1, 1, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 3, 2, 0, 2, 0, 7, 0, 0, 5, 1, 0, 9, 0, 0, 2, 0, 0, 2, 0, 3, 0, 7, 2, 1, 0, 0, 0, 0, 1, 1, 7, 1, 0, 2, 11, 1, 0, 0, 8, 0, 0, 2, 0, 2, 2, 0, 0, 0, 1, 0, 0, 10, 0, 0, 0, 0, 1, 10, 0, 1, 3, 0, 1, 3, 9, 0, 0, 0, 10, 0, 10, 0, 10, 1, 0, 0, 0, 0, 0, 1, 3, 1, 3, 1, 0, 2, 0, 1, 9, 1, 0, 0, 1, 1, 1, 1, 1, 2, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 4, 3, 3, 1, 2, 0, 2, 0, 0, 10, 1, 8, 0, 0, 7, 11, 0, 6, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 11, 1, 3, 3, 4, 3, 0, 0, 0, 0]",0.29809816135536094,1.9841897233201582
33,124,124,71,"[0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 3, 0, 1, 0, 0, 1, 5, 0, 0, 1, 1, 1, 1, 4, 1, 4, 1, 0, 7, 7, 0, 1, 0, 4, 0, 0, 7, 3, 0, 0, 0, 0, 1, 0, 2, 7, 0, 4, 2, 1, 1, 0, 0, 0, 0, 3, 1, 0, 0, 2, 0, 1, 0, 0, 1, 1, 7, 7, 1, 0, 2, 2, 0, 1, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 0, 0, 0, 1, 0, 7, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 3, 0, 0, 1, 0, 0, 0, 0, 4, 7, 0, 0, 0, 0]",0.1913978494623656,1.0
34,240,240,251,"[0, 0, 1, 0, 4, 9, 9, 0, 1, 9, 8, 0, 1, 0, 0, 0, 8, 2, 1, 9, 8, 2, 9, 8, 2, 3, 8, 2, 0, 0, 6, 1, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 8, 0, 4, 0, 1, 8, 0, 1, 2, 0, 4, 0, 1, 1, 5, 3, 6, 1, 0, 1, 0, 8, 2, 0, 3, 0, 2, 0, 9, 8, 2, 0, 4, 1, 1, 2, 4, 1, 2, 5, 1, 2, 0, 0, 0, 2, 2, 1, 1, 0, 6, 0, 0, 0, 0, 5, 1, 0, 1, 2, 2, 6, 0, 4, 0, 4, 9, 8, 0, 2, 3, 0, 0, 0, 1, 6, 0, 2, 2, 1, 0, 1, 0, 0, 1, 9, 4, 0, 0, 0, 0, 1, 8, 2, 2, 4, 2, 0, 8, 1, 0, 1, 4, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 0, 2, 2, 0, 0, 4, 0, 0, 4, 0, 1, 0, 0, 4, 4, 0, 0, 1, 0, 8, 1, 0, 1, 8, 0, 4, 2, 3, 6, 0, 1, 6, 0, 4, 0, 0, 4, 1, 0, 1, 0, 2, 0, 1, 1, 4, 8, 2, 0, 1, 8, 0, 1, 9, 0, 4, 5, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 8, 1, 1, 2, 1, 0, 4, 0, 1, 9, 0, 0, 0, 0]",0.37138888888888894,1.0
35,236,236,169,"[1, 7, 1, 3, 2, 0, 3, 1, 1, 1, 0, 1, 3, 7, 7, 3, 0, 2, 3, 5, 0, 1, 4, 0, 0, 2, 0, 3, 0, 0, 2, 7, 1, 1, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1, 0, 0, 3, 7, 1, 0, 0, 1, 4, 0, 2, 9, 0, 0, 5, 1, 0, 0, 2, 0, 5, 0, 2, 1, 2, 0, 0, 2, 0, 2, 2, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 1, 0, 2, 1, 0, 0, 5, 0, 4, 0, 2, 2, 0, 7, 1, 0, 0, 0, 2, 0, 0, 0, 1, 5, 0, 1, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 1, 7, 1, 3, 0, 1, 1, 0, 0, 7, 0, 0, 1, 0, 0, 4, 0, 0, 0, 0, 3, 7, 0, 1, 0, 2, 1, 0, 7, 1, 7, 0, 1, 7, 0, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 2, 0, 7, 0, 0, 5, 0, 0, 0, 0, 4, 0, 0, 0, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 2, 2, 7, 1, 5, 2, 1, 0, 3, 0, 7, 2, 2, 1, 1, 5, 2, 1, 0, 2, 2, 1, 0, 0, 1, 0, 5, 7, 0, 0, 0, 0]",0.3086864406779661,1.690909090909091
36,265,265,240,"[0, 0, 2, 0, 6, 7, 1, 5, 0, 0, 0, 0, 1, 0, 0, 1, 10, 1, 1, 0, 0, 10, 0, 0, 0, 0, 5, 0, 1, 0, 1, 0, 4, 7, 0, 7, 0, 0, 1, 3, 0, 0, 3, 2, 10, 2, 7, 1, 5, 0, 3, 7, 0, 0, 0, 0, 0, 0, 7, 0, 0, 1, 0, 1, 13, 0, 2, 0, 7, 10, 2, 2, 0, 0, 0, 0, 1, 1, 4, 2, 7, 0, 0, 10, 0, 0, 6, 0, 6, 0, 0, 1, 1, 0, 0, 10, 2, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 7, 10, 2, 0, 10, 0, 0, 2, 0, 1, 2, 3, 3, 0, 0, 2, 1, 0, 2, 2, 0, 0, 1, 2, 0, 0, 7, 2, 0, 0, 0, 1, 0, 0, 1, 6, 0, 1, 2, 2, 2, 6, 0, 7, 1, 0, 0, 0, 0, 2, 5, 0, 6, 0, 5, 1, 1, 1, 0, 2, 1, 0, 1, 0, 2, 2, 0, 0, 2, 2, 2, 4, 7, 0, 0, 5, 0, 0, 0, 0, 0, 1, 3, 0, 5, 1, 7, 0, 0, 0, 2, 0, 0, 0, 2, 2, 0, 1, 1, 0, 1, 5, 0, 1, 0, 0, 1, 0, 1, 2, 3, 1, 4, 10, 2, 0, 2, 5, 0, 6, 1, 7, 0, 0, 0, 2, 3, 1, 4, 7, 1, 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 0, 0, 10, 2, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.3386066763425254,1.5164835164835164
37,36,36,3,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.0,1.0
38,227,227,233,"[0, 0, 1, 0, 3, 8, 6, 1, 8, 0, 2, 1, 1, 1, 8, 18, 1, 0, 1, 0, 0, 8, 8, 3, 5, 1, 0, 2, 4, 0, 3, 2, 1, 0, 0, 1, 6, 1, 0, 8, 0, 2, 2, 0, 2, 2, 0, 5, 0, 0, 0, 8, 9, 0, 1, 6, 1, 1, 2, 1, 4, 2, 0, 0, 3, 3, 0, 2, 2, 0, 2, 0, 5, 0, 9, 3, 1, 1, 1, 0, 0, 1, 1, 0, 1, 9, 1, 0, 4, 1, 9, 1, 0, 2, 0, 4, 0, 1, 0, 0, 1, 0, 2, 0, 0, 2, 1, 1, 1, 0, 0, 0, 4, 3, 0, 0, 8, 1, 0, 0, 0, 0, 0, 6, 1, 0, 1, 1, 0, 0, 1, 0, 2, 0, 3, 0, 2, 1, 5, 0, 2, 0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 9, 0, 3, 5, 0, 4, 4, 1, 3, 2, 0, 2, 3, 1, 3, 0, 2, 2, 0, 9, 2, 1, 0, 1, 1, 0, 1, 3, 1, 3, 0, 0, 3, 0, 2, 4, 9, 2, 1, 0, 5, 1, 3, 6, 3, 9, 2, 1, 5, 1, 0, 2, 4, 0, 1, 8, 2, 2, 5, 4, 7, 1, 9, 0, 6, 0, 0, 2, 6, 0, 0, 0, 0, 0]",0.38898719546555777,2.3033333333333332
39,249,249,274,"[0, 0, 5, 0, 2, 0, 2, 2, 1, 2, 2, 1, 0, 0, 0, 10, 0, 0, 5, 1, 1, 0, 3, 0, 10, 0, 1, 0, 0, 0, 2, 2, 2, 0, 3, 2, 0, 3, 2, 7, 0, 0, 3, 3, 0, 1, 0, 4, 1, 1, 4, 1, 1, 0, 5, 8, 3, 0, 1, 10, 4, 0, 0, 5, 2, 0, 0, 0, 6, 3, 7, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5, 4, 0, 0, 1, 10, 0, 1, 2, 0, 3, 0, 6, 3, 0, 2, 0, 0, 1, 1, 2, 0, 3, 2, 2, 0, 0, 3, 3, 0, 3, 0, 2, 4, 0, 0, 0, 10, 2, 3, 8, 3, 3, 4, 0, 0, 0, 8, 1, 5, 0, 0, 5, 2, 0, 0, 2, 1, 0, 5, 0, 2, 0, 0, 6, 2, 0, 0, 0, 0, 0, 5, 4, 7, 1, 0, 10, 3, 0, 1, 5, 8, 3, 5, 1, 1, 0, 10, 3, 3, 0, 10, 0, 5, 5, 4, 3, 0, 1, 3, 5, 0, 2, 8, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 10, 0, 2, 3, 1, 4, 0, 3, 2, 2, 0, 1, 15, 3, 1, 0, 0, 1, 0, 1, 2, 5, 8, 3, 2, 8, 1, 0, 10, 1, 2, 0, 8, 1, 1, 2, 5, 5, 2, 2, 8, 1, 0, 0, 1, 0, 10, 4, 0, 0, 0, 0]",0.4565691336775674,1.8496732026143792
40,247,247,170,"[0, 0, 2, 0, 6, 3, 0, 6, 0, 2, 0, 5, 0, 6, 0, 1, 4, 1, 0, 0, 0, 4, 2, 1, 4, 3, 1, 0, 0, 0, 0, 0, 1, 1, 5, 0, 0, 3, 3, 7, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 1, 0, 2, 2, 7, 2, 1, 6, 0, 5, 1, 0, 4, 0, 0, 4, 0, 0, 0, 0, 4, 7, 5, 0, 6, 0, 0, 3, 1, 1, 1, 4, 0, 1, 2, 0, 0, 1, 4, 2, 0, 5, 1, 0, 4, 1, 1, 1, 1, 5, 0, 0, 0, 2, 2, 3, 3, 1, 1, 15, 2, 1, 0, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 4, 0, 0, 0, 0, 4, 0, 1, 1, 5, 0, 0, 6, 0, 1, 1, 3, 1, 1, 1, 0, 2, 0, 0, 0, 0, 0, 1, 0, 6, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 4, 1, 0, 0, 6, 2, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 3, 1, 0, 4, 0, 0, 3, 1, 0, 7, 1, 1, 1, 0, 1, 0, 2, 1, 0, 2, 1, 0, 5, 0, 0, 4, 0, 0, 0, 1, 0, 2, 0, 1, 1, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 0, 4, 0, 0, 5, 0, 0, 2, 0, 0, 0, 0]",0.26535569693464434,1.7352941176470589
